Gene Symbol,Gene Accession Id,Allele Symbol,Allele Accession Id,Phenotyping Centre,Colony Id,Sex,Zygosity,Phenotype,Comment
Camsap3,MGI:1916947,Camsap3<tm1a(EUCOMM)Wtsi>,MGI:4431915,WTSI,MFTU,both,Homozygous , Subviable,
Camta2,MGI:2135957,Camta2<tm1b(EUCOMM)Wtsi>,MGI:5708233,UC Davis,BL5338,both,Homozygous , Lethal,
Cand2,MGI:1914338,Cand2<tm1a(EUCOMM)Wtsi>,MGI:4432020,WTSI,MDKN,both,Homozygous , Viable,
Cant1,MGI:1923275,Cant1<tm1b(EUCOMM)Hmgu>,MGI:5612825,HMGU,H4636-HEPD0624_1_E03-1,both,Homozygous , Subviable,
Cap2,MGI:1914502,Cap2<tm1b(EUCOMM)Wtsi>,MGI:5692670,HMGU,GSF-EPD0155_4_D08-1-1,both,Homozygous , Subviable,
Capn11,MGI:1352490,Capn11<tm1b(EUCOMM)Wtsi>,MGI:5692635,WTSI,PMAU,both,Homozygous , Viable,
Capn12,MGI:1891369,Capn12<tm1b(EUCOMM)Hmgu>,MGI:5605772,HMGU,H4637-HEPD0693_1_D08-1,both,Homozygous , Viable,
Capn8,MGI:2181366,Capn8<tm1.1(KOMP)Vlcg>,MGI:5695951,UC Davis,BL4161,both,Homozygous , Viable,
Caprin2,MGI:2448541,Caprin2<tm2a(EUCOMM)Wtsi>,MGI:4434168,WTSI,MAXJ,both,Homozygous , Viable,
Capza2,MGI:106222,Capza2<tm1b(KOMP)Wtsi>,MGI:5638561,WTSI,MUFS,both,Homozygous , Subviable,
Capzb,MGI:104652,Capzb<tm1a(EUCOMM)Wtsi>,MGI:4432323,WTSI,MBLU,both,Homozygous , Lethal,
Car12,MGI:1923709,Car12<tm1b(KOMP)Wtsi>,MGI:5620910,JAX,JR26843,both,Homozygous , Viable,
Car13,MGI:1931322,Car13<tm1b(KOMP)Wtsi>,MGI:5695123,BCM,CARTB,both,Homozygous , Viable,
Car14,MGI:1344341,Car14<tm1b(EUCOMM)Hmgu>,MGI:6120708,HMGU,HMGU-HEPD0738_8_E09-2-1,both,Homozygous , Viable,
Car4,MGI:1096574,Car4<tm1b(EUCOMM)Wtsi>,MGI:5548394,HMGU,GSF-EPD0227_6_F12-1-2,both,Homozygous , Subviable,
Car7,MGI:103100,Car7<tm1b(KOMP)Wtsi>,MGI:5498767,JAX,JR23283,both,Homozygous , Viable,
Card9,MGI:2685628,Card9<tm1a(EUCOMM)Hmgu>,MGI:4841496,WTSI,MFVJ,both,Homozygous , Viable,
Carf,MGI:2182269,Carf<tm1.1(KOMP)Vlcg>,MGI:5529500,JAX,JR24516,both,Homozygous , Viable,
Carm1,MGI:1913208,Carm1<tm1b(EUCOMM)Hmgu>,MGI:5605773,MARC,Carm1 HEPD0719_6_E12-1,both,Homozygous , Lethal,
Carmil1,MGI:1915982,Carmil1<tm1a(KOMP)Wtsi>,MGI:4362921,WTSI,MBKM,both,Homozygous , Viable,
Carmil2,MGI:2685431,Carmil2<tm1b(KOMP)Mbp>,MGI:5692851,ICS,IP00005608a,both,Homozygous , Viable,
Casc3,MGI:2179723,Casc3<tm1.1(KOMP)Vlcg>,MGI:5548776,UC Davis,BL3762,both,Homozygous , Subviable,
Casc4,MGI:2443129,Casc4<tm2b(EUCOMM)Wtsi>,MGI:5637147,WTSI,MUDO,both,Homozygous , Viable,
Caskin1,MGI:2442952,Caskin1<em1(IMPC)Mbp>,MGI:6152419,UC Davis,CR1110,both,Homozygous , Viable,Conflicting data
Caskin1,MGI:2442952,Caskin1<tm1b(KOMP)Wtsi>,MGI:5583073,UC Davis,BL4238,both,Homozygous , Subviable,Conflicting data
Casp12,MGI:1312922,Casp12<tm1a(KOMP)Wtsi>,MGI:4939736,WTSI,MECG,both,Homozygous , Viable,
Casp4,MGI:107700,Casp4<tm1b(KOMP)Wtsi>,MGI:5548377,UC Davis,BL3518,both,Homozygous , Viable,
Casq1,MGI:1309468,Casq1<tm1b(EUCOMM)Wtsi>,MGI:5692603,ICS,IP00005801a,both,Homozygous , Viable,
Casq2,MGI:1309469,Casq2<tm1b(KOMP)Wtsi>,MGI:5548421,TCP,BL3707,both,Homozygous , Lethal,
Casr,MGI:1351351,Casr<tm1b(KOMP)Mbp>,MGI:5620314,UC Davis,TCPA0843Cre,both,Homozygous , Lethal,
Cast,MGI:1098236,Cast<tm1.1(KOMP)Vlcg>,MGI:5488495,JAX,JR23393,both,Homozygous , Viable,
Casz1,MGI:1196251,Casz1<tm1b(EUCOMM)Hmgu>,MGI:5636932,MRC Harwell,H-CASZ1-D09-TM1B,both,Homozygous , Lethal,
Catip,MGI:2685062,Catip<tm1b(KOMP)Wtsi>,MGI:5637170,WTSI,MUCX,both,Homozygous , Viable,
Catsper3,MGI:1924106,Catsper3<em2(IMPC)Mbp>,MGI:6152421,UC Davis,CR1098,both,Homozygous , Viable,
Catsper3,MGI:1924106,Catsper3<tm1.1(KOMP)Vlcg>,MGI:5695932,UC Davis,BL4037,both,Homozygous , Viable,
Catsperz,MGI:1914327,Catsperz<tm1.1(KOMP)Vlcg>,MGI:5617262,JAX,JR25864,both,Homozygous , Viable,
Cavin3,MGI:1923422,Cavin3<tm1.1(KOMP)Vlcg>,MGI:5696914,UC Davis,BL2012,both,Homozygous , Viable,
Cbl,MGI:88279,Cbl<tm1b(EUCOMM)Hmgu>,MGI:5766762,ICS,IP00006085a,both,Homozygous , Subviable,
Cbln3,MGI:1889286,Cbln3<tm1.1(KOMP)Vlcg>,MGI:5443924,JAX,JR18556,both,Homozygous , Viable,
Cbr2,MGI:107200,Cbr2<tm1b(EUCOMM)Hmgu>,MGI:5692567,WTSI,PMCJ,both,Homozygous , Viable,
Cbx1,MGI:105369,Cbx1<tm1a(EUCOMM)Wtsi>,MGI:4432508,WTSI,MAAT,both,Homozygous , Lethal,
Cbx2,MGI:88289,Cbx2<tm1b(KOMP)Wtsi>,MGI:5548919,MRC Harwell,H-Cbx2-F12-TM1B,both,Homozygous , Lethal,
Cbx4,MGI:1195985,Cbx4<tm1.1(KOMP)Vlcg>,MGI:5548407,TCP,TCPA0078Cre,both,Homozygous , Lethal,
Cbx6,MGI:3512628,Cbx6<tm1a(EUCOMM)Wtsi>,MGI:4441849,WTSI,MCTQ,both,Homozygous , Viable,
Ccdc116,MGI:1924122,Ccdc116<tm1.1(KOMP)Vlcg>,MGI:5695933,UC Davis,ET8171,both,Homozygous , Viable,
Ccdc122,MGI:1918358,Ccdc122<tm1a(KOMP)Wtsi>,MGI:4363388,WTSI,MEWY,both,Homozygous , Viable,
Ccdc124,MGI:1916403,Ccdc124<tm1b(KOMP)Wtsi>,MGI:5605783,MARC,Ccdc124_EPD0528_4_B10-1,both,Homozygous , Viable,
Ccdc127,MGI:1914683,Ccdc127<tm1b(EUCOMM)Wtsi>,MGI:5637023,WTSI,MUDY,both,Homozygous , Viable,
Ccdc129,MGI:2685304,Ccdc129<em1(IMPC)Marc>,-,MARC,Ccdc129_cas9_del151,both,Homozygous , Viable,
Ccdc134,MGI:1923707,Ccdc134<tm1a(KOMP)Wtsi>,MGI:4362536,WTSI,MERW,both,Homozygous , Subviable,
Ccdc137,MGI:1914541,Ccdc137<tm1a(KOMP)Wtsi>,MGI:4363458,WTSI,MBGC,both,Homozygous , Lethal,
Ccdc146,MGI:1922422,Ccdc146<em1(IMPC)J>,MGI:5788754,JAX,JR29569,both,Homozygous , Viable,
Ccdc159,MGI:1914369,Ccdc159<tm1a(KOMP)Wtsi>,MGI:4419403,WTSI,MEZZ,both,Homozygous , Viable,
Ccdc18,MGI:1922974,Ccdc18<tm1a(EUCOMM)Wtsi>,MGI:4460455,WTSI,MFVF,both,Homozygous , Viable,
Ccdc180,MGI:2685871,Ccdc180<tm1b(KOMP)Wtsi>,MGI:5695129,BCM,ETTOB,both,Homozygous , Viable,
Ccdc181,MGI:1922145,Ccdc181<tm1b(EUCOMM)Hmgu>,MGI:5550595,BCM,CDDXB,both,Homozygous , Viable,
Ccdc189,MGI:2685012,Ccdc189<tm1b(EUCOMM)Hmgu>,MGI:5548862,ICS,IP00006040a,both,Homozygous , Viable,
Ccdc24,MGI:2685874,Ccdc24<tm1a(KOMP)Wtsi>,MGI:4455549,WTSI,MFCA,both,Homozygous , Viable,
Ccdc28a,MGI:2443508,Ccdc28a<tm3b(EUCOMM)Wtsi>,MGI:5634966,JAX,JR27040,both,Homozygous , Viable,
Ccdc30,MGI:1920582,Ccdc30<em1(IMPC)J>,MGI:5755389,JAX,JR28995,both,Homozygous , Viable,
Ccdc33,MGI:1922464,Ccdc33<tm1.1(KOMP)Vlcg>,MGI:5548652,UC Davis,BL2479,both,Homozygous , Viable,
Ccdc39,MGI:1289263,Ccdc39<tm2b(KOMP)Wtsi>,MGI:5605755,UC Davis,TCPA0745Cre,both,Homozygous , Subviable,
Ccdc50,MGI:1914751,Ccdc50<tm1b(EUCOMM)Hmgu>,MGI:5692675,MRC Harwell,H-CCDC50-A07-TM1B,both,Homozygous , Viable,
Ccdc57,MGI:1918526,Ccdc57<tm1a(EUCOMM)Wtsi>,MGI:4431914,WTSI,MALA,both,Homozygous , Viable,
Ccdc59,MGI:1289302,Ccdc59<em1(IMPC)J>,MGI:5804139,JAX,JR29816,both,Homozygous , Lethal,
Ccdc6,MGI:1923801,Ccdc6<em1(IMPC)Wtsi>,MGI:6153244,WTSI,DACB,both,Homozygous , Lethal,
Ccdc69,MGI:1196234,Ccdc69<tm1b(KOMP)Wtsi>,MGI:5636931,WTSI,MUGL,both,Homozygous , Viable,
Ccdc77,MGI:1914450,Ccdc77<tm1a(EUCOMM)Wtsi>,MGI:4432801,WTSI,MDKE,both,Homozygous , Viable,
Ccdc78,MGI:2685784,Ccdc78<em1(IMPC)J>,MGI:5649017,JAX,JR27608,both,Homozygous , Viable,
Ccdc8,MGI:3612184,Ccdc8<em1(IMPC)Tcp>,-,TCP,TCPR0586_ADEP,both,Homozygous , Lethal,
Ccdc83,MGI:1918255,Ccdc83<em1(IMPC)Marc>,-,MARC,Ccdc83_cas9_del83,both,Homozygous , Viable,
Ccdc88c,MGI:1915589,Ccdc88c<tm1b(KOMP)Mbp>,-,UC Davis,BL3877,both,Homozygous , Viable,
Ccdc94,MGI:1920136,Ccdc94<tm1b(KOMP)Wtsi>,MGI:5563210,BCM,CCDDB,both,Homozygous , Lethal,
Cck,MGI:88297,Cck<tm2b(EUCOMM)Hmgu>,MGI:5572040,RBRC,RIKEN-Cck-B06_,both,Homozygous , Viable,
Ccl22,MGI:1306779,Ccl22<tm1a(EUCOMM)Wtsi>,MGI:4441963,WTSI,MDML,both,Homozygous , Subviable,
Ccl26,MGI:3589281,Ccl26<tm1.1(KOMP)Vlcg>,MGI:5529064,JAX,JR24349,both,Homozygous , Viable,
Ccl8,MGI:101878,Ccl8<tm1b(KOMP)Wtsi>,MGI:5548325,UC Davis,BL2489,both,Homozygous , Viable,
Ccl9,MGI:104533,Ccl9<tm1(KOMP)Vlcg>,MGI:4452877,UC Davis,BL1469_1,both,Homozygous , Viable,
Ccnb1,MGI:88302,Ccnb1<tm1b(KOMP)Wtsi>,MGI:5637200,MRC Harwell,H-CCNB1-E11-TM1B,both,Homozygous , Lethal,
Ccnb1ip1,MGI:2685134,Ccnb1ip1<em1(IMPC)Tcp>,MGI:5754587,TCP,TCPR0410_ACVK,both,Homozygous , Viable,
Ccnd2,MGI:88314,Ccnd2<tm1b(KOMP)Mbp>,MGI:6120814,MRC Harwell,H-CCND2-A01-TM1B,both,Homozygous , Viable,
Ccnt2,MGI:1920199,Ccnt2<tm1b(EUCOMM)Wtsi>,MGI:5637066,BCM,CCNCB,both,Homozygous , Subviable,
Ccpg1,MGI:1196419,Ccpg1<tm1b(EUCOMM)Hmgu>,MGI:5588268,HMGU,H4801-HEPD0725_5_A11-1,both,Homozygous , Viable,
Ccr6,MGI:1333797,Ccr6<tm1.1(KOMP)Vlcg>,MGI:5696887,UC Davis,BL4665,both,Homozygous , Viable,
Cd109,MGI:2445221,Cd109<tm1.1(KOMP)Vlcg>,MGI:5605817,UC Davis,TCPA0008Cre,both,Homozygous , Viable,
Cd22,MGI:88322,Cd22<tm1b(EUCOMM)Wtsi>,MGI:5696933,UC Davis,TCPA0978Cre,both,Homozygous , Viable,
Cd300c,MGI:3032626,Cd300c<em1(IMPC)Wtsi>,MGI:6140159,WTSI,DAEO,both,Homozygous , Viable,
Cd300e,MGI:2387602,Cd300e<tm1.1(KOMP)Vlcg>,MGI:5692814,UC Davis,BL4953,both,Homozygous , Viable,
Cd300ld,MGI:2442358,Cd300ld<em1(IMPC)Wtsi>,MGI:6140160,WTSI,DAEJ,both,Homozygous , Viable,
Cd300ld2,MGI:3649405,Cd300ld2<em1(IMPC)Wtsi>,MGI:6153296,WTSI,DAEQ,both,Homozygous , Viable,
Cd300lg,MGI:1289168,Cd300lg<tm1a(KOMP)Wtsi>,MGI:4364847,WTSI,MEYW,both,Homozygous , Viable,
Cd33,MGI:99440,Cd33<tm1.1(KOMP)Vlcg>,MGI:5471218,JAX,JR22016,both,Homozygous , Viable,
Cd3eap,MGI:1917583,Cd3eap<tm1b(KOMP)Wtsi>,MGI:5692700,BCM,CDEAB,both,Homozygous , Lethal,
Cd40,MGI:88336,Cd40<tm1b(KOMP)Wtsi>,MGI:5708270,UC Davis,BL5202,both,Homozygous , Viable,
Cd5,MGI:88340,Cd5<tm1.1(KOMP)Mbp>,MGI:5583082,UC Davis,BL4230,both,Homozygous , Viable,
Cd55,MGI:104850,Cd55<tm1b(EUCOMM)Hmgu>,MGI:5692553,BCM,CDFCB,both,Homozygous , Viable,
Cd55b,MGI:104849,Cd55b<tm1a(KOMP)Wtsi>,MGI:4868034,WTSI,MFJK,both,Homozygous , Viable,
Cd5l,MGI:1334419,Cd5l<tm1b(KOMP)Mbp>,MGI:5636957,MRC Harwell,H-CD5L-B08-TM1B,both,Homozygous , Viable,
Cd7,MGI:88344,Cd7<tm1b(KOMP)Wtsi>,MGI:5766763,ICS,IP00006188a,both,Homozygous , Viable,
Cd83,MGI:1328316,Cd83<tm1b(KOMP)Wtsi>,MGI:5548426,UC Davis,BL3306,both,Homozygous , Viable,
Cd84,MGI:1336885,Cd84<tm1b(KOMP)Mbp>,MGI:5515779,JAX,JR24040,both,Homozygous , Viable,
Cd96,MGI:1934368,Cd96<em1(IMPC)Wtsi>,MGI:6140170,WTSI,DAEH,both,Homozygous , Viable,
Cdc123,MGI:2138811,Cdc123<tm1b(KOMP)Wtsi>,MGI:5548737,HMGU,H4597-EPD0728_3_G03-1,both,Homozygous , Lethal,
Cdc14a,MGI:2442676,Cdc14a<tm1e.1(EUCOMM)Hmgu>,MGI:5634967,JAX,JR27558,both,Homozygous , Subviable,
Cdc20,MGI:1859866,Cdc20<tm1.1(KOMP)Vlcg>,MGI:5445785,JAX,JR18590,both,Homozygous , Lethal,
Cdc26,MGI:1913690,Cdc26<tm1b(EUCOMM)Hmgu>,MGI:5548520,ICS,IP00005031a,both,Homozygous , Lethal,
Cdc34,MGI:102657,Cdc34<tm1.1(KOMP)Mbp>,MGI:5532536,JAX,JR24569,both,Homozygous , Subviable,
Cdc37l1,MGI:1914322,Cdc37l1<em1(IMPC)J>,MGI:5788403,JAX,JR29552,both,Homozygous , Viable,
Cdc42bpb,MGI:2136459,Cdc42bpb<em1(IMPC)J>,MGI:5812907,JAX,JR30089,both,Homozygous , Subviable,
Cdc7,MGI:1309511,Cdc7<tm1.1(KOMP)Vlcg>,MGI:5695891,TCP,TCPA0828Cre,both,Homozygous , Lethal,
Cdca5,MGI:1915099,Cdca5<tm1.1(KOMP)Vlcg>,MGI:5576039,JAX,JR25275,both,Homozygous , Lethal,
Cdh1,MGI:88354,Cdh1<tm1a(EUCOMM)Wtsi>,MGI:4432805,WTSI,MAFN,both,Homozygous , Lethal,
Cdh13,MGI:99551,Cdh13<tm1b(EUCOMM)Hmgu>,MGI:5612831,ICS,IP00005591a,both,Homozygous , Viable,
Cdh19,MGI:3588198,Cdh19<tm1a(EUCOMM)Wtsi>,MGI:4432826,WTSI,MELB,both,Homozygous , Viable,
Cdh23,MGI:1890219,Cdh23<tm2b(EUCOMM)Wtsi>,MGI:5775000,WTSI,PMCP,both,Homozygous , Subviable,
Cdh26,MGI:2685856,Cdh26<tm1.1(KOMP)Vlcg>,MGI:5695960,UC Davis,BL3504,both,Homozygous , Viable,
Cdh4,MGI:99218,Cdh4<tm1b(EUCOMM)Wtsi>,MGI:5571352,JAX,JR25179,both,Homozygous , Viable,
Cdipt,MGI:105491,Cdipt<tm1b(EUCOMM)Wtsi>,MGI:5548363,BCM,Cdipt 2i EPD0459_3_A04 HOM,both,Homozygous , Lethal,
Cdk12,MGI:1098802,Cdk12<em1(IMPC)Tcp>,MGI:5754588,TCP,TCPR0588_ADDB,both,Homozygous , Lethal,
Cdk13,MGI:1916812,Cdk13<tm1b(EUCOMM)Hmgu>,MGI:5588278,HMGU,H4638-HEPD0683_5_G02,both,Homozygous , Lethal,
Cdk14,MGI:894318,Cdk14<tm1a(KOMP)Wtsi>,MGI:4362247,WTSI,MEBZ,both,Homozygous , Viable,
Cdk15,MGI:3583944,Cdk15<tm1b(KOMP)Wtsi>,MGI:5498771,JAX,JR23307,both,Homozygous , Viable,
Cdk19,MGI:1925584,Cdk19<em1(IMPC)J>,MGI:5607862,JAX,JR26911,both,Homozygous , Viable,
Cdk4,MGI:88357,Cdk4<tm1b(NCOM)Mfgc>,MGI:5766181,TCP,TCPA0701Cre,both,Homozygous , Subviable,
Cdk5rap2,MGI:2384875,Cdk5rap2<tm1a(EUCOMM)Wtsi>,MGI:4433427,WTSI,MCLH,both,Homozygous , Viable,
Cdk5rap3,MGI:1933126,Cdk5rap3<tm1b(EUCOMM)Hmgu>,MGI:5548726,HMGU,HMGU-HEPD0516_2_A06-1-1,both,Homozygous , Lethal,
Cdk6,MGI:1277162,Cdk6<tm1b(EUCOMM)Wtsi>,MGI:5696886,UC Davis,TCPA1023Cre,both,Homozygous , Viable,
Cdk8,MGI:1196224,Cdk8<tm1b(EUCOMM)Hmgu>,MGI:5548408,ICS,IP00005208a,both,Homozygous , Lethal,
Cdk9,MGI:1328368,Cdk9<tm1.1(KOMP)Vlcg>,MGI:5695892,UC Davis,BL4146,both,Homozygous , Lethal,
Cdkal1,MGI:1921765,Cdkal1<tm2a(EUCOMM)Wtsi>,MGI:4842388,WTSI,MDZB,both,Homozygous , Viable,
Cdkal1,MGI:1921765,Cdkal1<tm2b(EUCOMM)Wtsi>,MGI:5548648,HMGU,HMGU-EPD0635_1_F06-1-1,both,Homozygous , Viable,
Cdkl2,MGI:1858227,Cdkl2<tm1b(EUCOMM)Hmgu>,MGI:5581415,BCM,CDKKB,both,Homozygous , Viable,
Cdkl4,MGI:3587025,Cdkl4<tm1.1(KOMP)Vlcg>,MGI:5700371,JAX,JR28185,both,Homozygous , Viable,
Cdkn1a,MGI:104556,Cdkn1a<tm1.1(KOMP)Vlcg>,MGI:5695874,UC Davis,BL3423,both,Homozygous , Viable,
Cdkn2a,MGI:104738,Cdkn2a<tm1a(EUCOMM)Wtsi>,MGI:4460436,WTSI,MDCR,both,Homozygous , Viable,
Cdkn2aipnl,MGI:1261797,Cdkn2aipnl<tm1b(KOMP)Wtsi>,MGI:5548411,WTSI,MUBZ,both,Homozygous , Viable,
Cdkn3,MGI:1919641,Cdkn3<em1(IMPC)J>,MGI:5788504,JAX,JR29561,both,Homozygous , Viable,
Cdon,MGI:1926387,Cdon<tm1b(EUCOMM)Hmgu>,MGI:5804647,ICS,IP00006485a,both,Homozygous , Subviable,
Cdrt4,MGI:1913588,Cdrt4<em1(IMPC)J>,MGI:5688776,JAX,JR28319,both,Homozygous , Viable,
Cds2,MGI:1332236,Cds2<tm1a(KOMP)Wtsi>,MGI:4363703,WTSI,MADE,both,Homozygous , Lethal,
Cdsn,MGI:3505689,Cdsn<tm1b(EUCOMM)Hmgu>,MGI:5637180,HMGU,HMGU-HEPD0529_3_H06-1-1,both,Homozygous , Lethal,
Ceacam12,MGI:1914565,Ceacam12<em1(IMPC)Wtsi>,MGI:6140175,WTSI,DAFD,both,Homozygous , Viable,
Ceacam14,MGI:1914334,Ceacam14<em1(IMPC)Wtsi>,MGI:6149151,WTSI,DAEP,both,Homozygous , Viable,
Ceacam16,MGI:2685615,Ceacam16<tm1.1(KOMP)Wtsi>,MGI:5517676,JAX,JR22335,both,Homozygous , Viable,
Ceacam3,MGI:3646296,Ceacam3<em1(IMPC)Wtsi>,MGI:6152736,WTSI,DAEG,both,Homozygous , Viable,
Cecr2,MGI:1923799,Cecr2<tm2b(EUCOMM)Hmgu>,MGI:5605798,TCP,TCPM0807Cre,both,Homozygous , Lethal,
Celf2,MGI:1338822,Celf2<tm1b(EUCOMM)Wtsi>,MGI:5779676,WTSI,PMDM,both,Homozygous , Subviable,
Celf4,MGI:1932407,Celf4<tm1a(EUCOMM)Wtsi>,MGI:4433345,WTSI,MGBQ,both,Homozygous , Lethal,
Celf6,MGI:1923433,Celf6<tm1b(KOMP)Wtsi>,MGI:5548665,BCM,Celf6 EPD0681_3_B10,both,Homozygous , Viable,
Cenpe,MGI:1098230,Cenpe<tm1b(EUCOMM)Hmgu>,MGI:5548395,HMGU,Monterotondo-HEPD0553_1_A09-1-1,both,Homozygous , Lethal,
Cenph,MGI:1349448,Cenph<tm1b(EUCOMM)Hmgu>,MGI:5588273,HMGU,H4354-HEPD0530_5_A02-1,both,Homozygous , Lethal,
Cenpj,MGI:2684927,Cenpj<tm1a(EUCOMM)Wtsi>,MGI:4432238,WTSI,MBKA,both,Homozygous , Viable,
Cenpl,MGI:1917704,Cenpl<tm1b(EUCOMM)Wtsi>,MGI:5637046,WTSI,PMBQ,both,Homozygous , Lethal,
Cenpo,MGI:1923800,Cenpo<tm1b(KOMP)Mbp>,MGI:5463969,JAX,JR18836,both,Homozygous , Lethal,
Cep126,MGI:2680221,Cep126<tm1b(KOMP)Mbp>,MGI:5688207,JAX,JR28285,both,Homozygous , Viable,
Cep135,MGI:2681869,Cep135<em1(IMPC)J>,MGI:5805217,JAX,JR29830,both,Homozygous , Lethal,
Cep164,MGI:2384878,Cep164<tm1b(EUCOMM)Wtsi>,MGI:5637128,MRC Harwell,H-CEP164-A03-TM1B,both,Homozygous , Lethal,
Cep19,MGI:1914244,Cep19<tm1b(EUCOMM)Hmgu>,MGI:5792556,BCM,CEPFB,both,Homozygous , Viable,
Cep250,MGI:108084,Cep250<tm1a(EUCOMM)Wtsi>,MGI:4431949,WTSI,MFCU,both,Homozygous , Viable,
Cep295nl,MGI:1929713,Cep295nl<tm1.1(KOMP)Vlcg>,MGI:5558038,JAX,JR24155,both,Homozygous , Viable,
Cep41,MGI:1891414,Cep41<tm1a(EUCOMM)Wtsi>,MGI:4432442,WTSI,MCPL,both,Homozygous , Viable,
Cep55,MGI:1921357,Cep55<em1(IMPC)Tcp>,-,TCP,TCPR0420_ACXR,both,Homozygous , Subviable,
Cep57l1,MGI:1915511,Cep57l1<tm1b(KOMP)Wtsi>,MGI:5634968,JAX,JR27209,both,Homozygous , Lethal,
Cep76,MGI:1923401,Cep76<tm1b(EUCOMM)Hmgu>,MGI:5561564,BCM,CEPPB,both,Homozygous , Viable,
Cep83,MGI:1924298,Cep83<tm1.1(KOMP)Vlcg>,MGI:5695934,UC Davis,TCPA0933Cre,both,Homozygous , Lethal,
Cep97,MGI:1921451,Cep97<tm1.1(KOMP)Vlcg>,MGI:5708221,UC Davis,BL5364,both,Homozygous , Lethal,
Cercam,MGI:2139134,Cercam<em1(IMPC)J>,MGI:5788503,JAX,JR29560,both,Homozygous , Viable,
Cers5,MGI:1919199,Cers5<tm2b(KOMP)Mbp>,MGI:5490496,JAX,JR22819,both,Homozygous , Viable,
Ces1a,MGI:3648919,Ces1a<tm1b(KOMP)Wtsi>,MGI:5692869,BCM,CESCB,both,Homozygous , Viable,
Ces1d,MGI:2148202,Ces1d<em1(IMPC)Mbp>,-,UC Davis,CR985,both,Homozygous , Viable,
Ces2f,MGI:1919153,Ces2f<tm1b(KOMP)Wtsi>,MGI:5707434,MARC,ces2f_EPD0639_2_A07,both,Homozygous , Viable,
Ces4a,MGI:2384581,Ces4a<tm1.1(KOMP)Vlcg>,MGI:5520174,JAX,JR24189,both,Homozygous , Viable,
Cfap206,MGI:1916579,Cfap206<em1(IMPC)Mbp>,MGI:6152428,UC Davis,CR1448,both,Homozygous , Subviable,
Cfap36,MGI:1913994,Cfap36<tm1a(EUCOMM)Wtsi>,MGI:4433419,WTSI,MBUU,both,Homozygous , Viable,
Cfap44,MGI:1277238,Cfap44<tm1a(EUCOMM)Wtsi>,MGI:4431950,WTSI,MHCJ,both,Homozygous , Viable,
Cfap46,MGI:2444387,Cfap46<tm1b(EUCOMM)Wtsi>,MGI:5616365,BCM,RINTB,both,Homozygous , Viable,
Cfap53,MGI:1921703,Cfap53<em1(IMPC)Wtsi>,MGI:6153305,WTSI,DAAP,both,Homozygous , Subviable,
Cfap61,MGI:1926024,Cfap61<tm2a(EUCOMM)Wtsi>,MGI:5527609,WTSI,MGMN,both,Homozygous , Viable,
Cfap69,MGI:2443778,Cfap69<tm1b(KOMP)Wtsi>,MGI:5548820,UC Davis,BL2398,both,Homozygous , Viable,
Cfb,MGI:105975,Cfb<tm1.1(KOMP)Wtsi>,MGI:5529069,JAX,JR21512,both,Homozygous , Viable,
Cfi,MGI:105937,Cfi<tm1b(EUCOMM)Hmgu>,MGI:5636899,MRC Harwell,H-CFI-F03-TM1B,both,Homozygous , Viable,
Cflar,MGI:1336166,Cflar<tm1b(EUCOMM)Wtsi>,MGI:5804644,ICS,IP00006484a,both,Homozygous , Lethal,
Cgn,MGI:1927237,Cgn<tm1b(KOMP)Wtsi>,MGI:5521541,JAX,JR24092,both,Homozygous , Lethal,
Cgref1,MGI:1915817,Cgref1<em1(IMPC)J>,MGI:5817761,JAX,JR30138,both,Homozygous , Viable,
Cgrrf1,MGI:1916368,Cgrrf1<tm1b(KOMP)Wtsi>,MGI:5637038,WTSI,MUHO,both,Homozygous , Viable,
Chchd1,MGI:1913371,Chchd1<tm1.1(KOMP)Vlcg>,MGI:5708199,TCP,BL5365_TCP,both,Homozygous , Lethal,
Chchd5,MGI:1913420,Chchd5<em1(IMPC)Marc>,-,MARC,Chchd5_cas9_del1,both,Homozygous , Viable,
Chchd7,MGI:1913683,Chchd7<em3(IMPC)Tcp>,MGI:5754589,TCP,TCPR0372_ACQF,both,Homozygous , Viable,
Chd1,MGI:88393,Chd1<tm1b(KOMP)Wtsi>,MGI:5513752,TCP,TCPA0039Cre,both,Homozygous , Lethal,
Chd2,MGI:2448567,Chd2<tm1b(EUCOMM)Hmgu>,MGI:5605818,TCP,TCPM0638Cre,both,Homozygous , Viable,
Chd3,MGI:1344395,Chd3<em1(IMPC)J>,MGI:5818701,JAX,JR30167,both,Homozygous , Viable,
Chd4,MGI:1344380,Chd4<tm1b(EUCOMM)Wtsi>,MGI:5561559,BCM,CHDAB,both,Homozygous , Lethal,
Chd9,MGI:1924001,Chd9<tm1a(EUCOMM)Wtsi>,MGI:4820270,WTSI,MGJD,both,Homozygous , Viable,
Chdh,MGI:1860776,Chdh<tm1b(KOMP)Mbp>,MGI:5620315,UC Davis,TCPA0866Cre,both,Homozygous , Viable,
Chek2,MGI:1355321,Chek2<tm1b(EUCOMM)Hmgu>,MGI:5521536,JAX,JR24279,both,Homozygous , Viable,
Chic2,MGI:1921527,Chic2<tm1b(EUCOMM)Wtsi>,MGI:5637077,MRC Harwell,H-CHIC2-B08-TM1B,both,Homozygous , Subviable,
