Gene Symbol,Gene Accession Id,Allele Symbol,Allele Accession Id,Phenotyping Centre,Colony Id,Sex,Zygosity,Phenotype,Comment
2810001G20Rik,MGI:1913706,2810001G20Rik<tm1.1(NCC)WCS>,-,WTSI,TCAR,both,Homozygous , Subviable,
2810468N07Rik,MGI:1920084,2810468N07Rik<tm1.1(NCC)WCS>,-,WTSI,TCAP,both,Homozygous , Viable,
2810474O19Rik,MGI:1914496,2810474O19Rik<em1(IMPC)Mbp>,MGI:6140116,UC Davis,CR1431,both,Homozygous , Subviable,
3110001I22Rik,MGI:1913848,3110001I22Rik<tm1a(EUCOMM)Wtsi>,MGI:4434304,WTSI,MCSH,both,Homozygous , Viable,
3110035E14Rik,MGI:1924232,3110035E14Rik<tm1a(KOMP)Wtsi>,MGI:4843828,WTSI,MELP,both,Homozygous , Viable,
3110035E14Rik,MGI:1924232,3110035E14Rik<tm1a(KOMP)Wtsi>,MGI:4843828,UC Davis,TCPA0050Cre,both,Homozygous , Viable,
3110035E14Rik,MGI:1924232,3110035E14Rik<tm1b(KOMP)Wtsi>,MGI:5548679,WTSI,MUAH,both,Homozygous , Viable,
3110043O21Rik,MGI:1920455,3110043O21Rik<tm1b(KOMP)Mbp>,-,UC Davis,BL3210,both,Homozygous , Viable,
3110062M04Rik,MGI:1925662,3110062M04Rik<tm1.1(KOMP)Vlcg>,MGI:5569061,UC Davis,ET8307,both,Homozygous , Viable,
3110082I17Rik,MGI:1920462,3110082I17Rik<tm1b(EUCOMM)Wtsi>,MGI:5700043,BCM,ZOOUB,both,Homozygous , Viable,
3300002A11Rik,MGI:1919073,3300002A11Rik<tm1a(KOMP)Wtsi>,MGI:4887592,WTSI,MFBX,both,Homozygous , Viable,
3632451O06Rik,MGI:1914669,3632451O06Rik<em1(IMPC)H>,MGI:5749842,MRC Harwell,H-3632451O06RIK-DEL1851-EM1-B6N,both,Homozygous , Viable,
3830406C13Rik,MGI:1917937,3830406C13Rik<tm1b(KOMP)Wtsi>,MGI:5637049,WTSI,MUGV,both,Homozygous , Viable,
4833420G17Rik,MGI:1914642,4833420G17Rik<em1(IMPC)Mbp>,MGI:6140117,UC Davis,CR1432,both,Homozygous , Viable,
4921509C19Rik,MGI:2685851,4921509C19Rik<tm1.1(KOMP)Vlcg>,MGI:5523316,JAX,JR24333,both,Homozygous , Viable,
4921536K21Rik,MGI:1914680,4921536K21Rik<tm1a(KOMP)Wtsi>,MGI:4363036,WTSI,MFCN,both,Homozygous , Viable,
4930402H24Rik,MGI:1923029,4930402H24Rik<tm1b(EUCOMM)Hmgu>,MGI:5605794,TCP,TCPA0563Cre,both,Homozygous , Viable,
4930404H24Rik,MGI:1925401,4930404H24Rik<tm1a(KOMP)Wtsi>,MGI:5050148,WTSI,MGZK,both,Homozygous , Viable,
4930449E01Rik,MGI:1922114,4930449E01Rik<tm1a(KOMP)Wtsi>,MGI:4841164,WTSI,MFCS,both,Homozygous , Viable,
4930451I11Rik,MGI:1925368,4930451I11Rik<tm1.1(KOMP)Wtsi>,MGI:5609355,BCM,KRINB,both,Homozygous , Viable,
4930505A04Rik,MGI:1922337,4930505A04Rik<tm1b(KOMP)Wtsi>,MGI:5581734,BCM,MAODB,both,Homozygous , Viable,
4930563E22Rik,MGI:1922554,4930563E22Rik<tm1.1(KOMP)Vlcg>,MGI:5630071,JAX,JR26509,both,Homozygous , Viable,
4930590J08Rik,MGI:2685917,4930590J08Rik<tm1a(EUCOMM)Wtsi>,MGI:4882021,WTSI,MGRE,both,Homozygous , Viable,
4930591A17Rik,MGI:1915425,4930591A17Rik<tm1a(KOMP)Wtsi>,MGI:4944391,WTSI,MFCL,both,Homozygous , Viable,
4931406C07Rik,MGI:1918234,4931406C07Rik<tm1b(EUCOMM)Wtsi>,MGI:5637051,BCM,UDANB,both,Homozygous , Viable,
4931406P16Rik,MGI:1924311,4931406P16Rik<em1(IMPC)J>,MGI:5803794,JAX,JR29792,both,Homozygous , Viable,
4931422A03Rik,MGI:1918236,4931422A03Rik<tm1b(EUCOMM)Wtsi>,MGI:5692703,BCM,FNTHB,both,Homozygous , Viable,
4931429L15Rik,MGI:1921611,4931429L15Rik<tm1a(EUCOMM)Wtsi>,MGI:4460419,WTSI,MGNZ,both,Homozygous , Viable,
4932414N04Rik,MGI:1922971,4932414N04Rik<tm1a(KOMP)Wtsi>,MGI:4364741,WTSI,MCPJ,both,Homozygous , Viable,
4932431P20Rik,MGI:2149781,4932431P20Rik<em1(IMPC)Wtsi>,MGI:6153266,WTSI,DABT,both,Homozygous , Viable,
4932438A13Rik,MGI:2444631,4932438A13Rik<tm1b(EUCOMM)Hmgu>,MGI:5613665,JAX,JR26878,both,Homozygous , Lethal,
4932438A13Rik,MGI:2444631,4932438A13Rik<tm1b(EUCOMM)Hmgu>,MGI:5613665,HMGU,H4732-HEPD0678_2_H07-1,both,Homozygous , Lethal,
4932438H23Rik,MGI:1921637,4932438H23Rik<tm1a(EUCOMM)Wtsi>,MGI:4433980,WTSI,MDUU,both,Homozygous , Viable,
4933402N03Rik,MGI:1914681,4933402N03Rik<tm2a(KOMP)Wtsi>,MGI:4820121,WTSI,MFAX,both,Homozygous , Viable,
4933406M09Rik,MGI:3045320,4933406M09Rik<tm1b(EUCOMM)Hmgu>,MGI:5609361,BCM,MAZZB,both,Homozygous , Viable,
4933425L06Rik,MGI:1914013,4933425L06Rik<tm1a(KOMP)Wtsi>,MGI:4363980,WTSI,MBJA,both,Homozygous , Viable,
4933427D14Rik,MGI:1921727,4933427D14Rik<tm1.1(KOMP)Vlcg>,MGI:5515778,JAX,JR24041,both,Homozygous , Lethal,
4933430I17Rik,MGI:3045314,4933430I17Rik<tm1a(EUCOMM)Wtsi>,MGI:4432117,ICS,IP00004326a,both,Homozygous , Viable,
4933430I17Rik,MGI:3045314,4933430I17Rik<tm1b(EUCOMM)Wtsi>,MGI:5548894,ICS,E112JM8N4-2,both,Homozygous , Viable,
4933434E20Rik,MGI:1914027,4933434E20Rik<tm1a(EUCOMM)Wtsi>,MGI:4432969,WTSI,MERZ,both,Homozygous , Lethal,
5330417C22Rik,MGI:1923930,5330417C22Rik<tm1b(EUCOMM)Hmgu>,MGI:5548671,ICS,IP00005273a,both,Homozygous , Subviable,
5430419D17Rik,MGI:1918645,5430419D17Rik<em1(IMPC)Mbp>,MGI:6140120,UC Davis,CR1127,both,Homozygous , Viable,
5730559C18Rik,MGI:1921579,5730559C18Rik<tm2a(EUCOMM)Wtsi>,MGI:5527587,WTSI,MGHU,both,Homozygous , Viable,
5830411N06Rik,MGI:2443685,5830411N06Rik<tm1b(KOMP)Wtsi>,MGI:5548819,UC Davis,BL3037,both,Homozygous , Viable,
9130011E15Rik,MGI:1918867,9130011E15Rik<tm1a(EUCOMM)Wtsi>,MGI:4455980,WTSI,MFTJ,both,Homozygous , Lethal,
9230104L09Rik,MGI:1924955,9230104L09Rik<em1(IMPC)Tcp>,MGI:5754573,TCP,TCPR0381_ACRQ,both,Homozygous , Viable,
9330182L06Rik,MGI:2443264,9330182L06Rik<tm1a(KOMP)Wtsi>,MGI:4841114,WTSI,MGVG,both,Homozygous , Viable,
9530077C05Rik,MGI:1915533,9530077C05Rik<tm1.1(KOMP)Vlcg>,MGI:5569951,UC Davis,BL4802,both,Homozygous , Viable,
9930012K11Rik,MGI:2145726,9930012K11Rik<tm2b(EUCOMM)Hmgu>,MGI:5613660,BCM,MAWLB,both,Homozygous , Viable,
A1cf,MGI:1917115,A1cf<tm1b(EUCOMM)Hmgu>,MGI:5523232,JAX,JR24325,both,Homozygous , Viable,
A2m,MGI:2449119,A2m<tm1b(NCOM)Mfgc>,MGI:5766179,TCP,TCPA0687Cre,both,Homozygous , Viable,
A430005L14Rik,MGI:2140680,A430005L14Rik<tm1a(KOMP)Wtsi>,MGI:4419175,WTSI,MEVK,both,Homozygous , Viable,
A430078G23Rik,MGI:2442135,A430078G23Rik<tm1a(KOMP)Wtsi>,MGI:5426632,WTSI,MHCT,both,Homozygous , Viable,
A430105I19Rik,MGI:2685199,A430105I19Rik<em1(IMPC)Tcp>,MGI:5754574,TCP,TCPR0366_ACOU,both,Homozygous , Viable,
A530099J19Rik,MGI:2441809,A530099J19Rik<em1(IMPC)Tcp>,MGI:5754575,TCP,TCPR0383_ACRS,both,Homozygous , Viable,
A730017C20Rik,MGI:2442934,A730017C20Rik<tm1b(KOMP)Wtsi>,MGI:5637144,WTSI,MUFO,both,Homozygous , Viable,
A830005F24Rik,MGI:3045249,A830005F24Rik<tm1.1(KOMP)Mbp>,MGI:5569077,UC Davis,ET8308,both,Homozygous , Viable,
A830019P07Rik,MGI:3028035,A830019P07Rik<tm1a(KOMP)Wtsi>,MGI:4820036,WTSI,MENG,both,Homozygous , Viable,
A830031A19Rik,MGI:2685508,A830031A19Rik<tm1b(KOMP)Wtsi>,MGI:5812929,WTSI,PMFA,both,Homozygous , Viable,
A930004D18Rik,MGI:1925190,A930004D18Rik<tm1a(EUCOMM)Wtsi>,MGI:4441782,WTSI,MFEK,both,Homozygous , Viable,
A930017K11Rik,MGI:2442713,A930017K11Rik<tm1b(KOMP)Wtsi>,MGI:5638569,BCM,ANTOB,both,Homozygous , Viable,
AB124611,MGI:3043001,AB124611<tm1.1(KOMP)Vlcg>,MGI:5695961,UC Davis,BL3477,both,Homozygous , Viable,
AF529169,MGI:2667167,AF529169<em1(IMPC)Tcp>,MGI:5754580,TCP,TCPR0387_ACRO,both,Homozygous , Viable,
